secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
215,2026-09-08T04:05:58.500Z,2026-09-08T04:05:58.507Z,1,C,7.369,200,10.751,E1,
216,2026-09-08T04:05:58.550Z,2026-09-08T04:05:58.562Z,1,B,12.068,200,10.801,E1,
217,2026-09-08T04:05:58.600Z,2026-09-08T04:05:58.615Z,1,C,15.408,200,10.851,E1,
218,2026-09-08T04:05:58.649Z,2026-09-08T04:05:58.663Z,1,C,13.950,200,10.900,E1,
219,2026-09-08T04:05:58.700Z,2026-09-08T04:05:58.708Z,1,B,7.716,200,10.951,E1,
220,2026-09-08T04:05:58.749Z,2026-09-08T04:05:58.758Z,1,B,8.579,200,11.000,E1,
221,2026-09-08T04:05:58.799Z,2026-09-08T04:05:58.809Z,1,B,10.188,200,11.050,E1,
222,2026-09-08T04:05:58.850Z,2026-09-08T04:05:58.863Z,1,C,13.121,200,11.101,E1,
223,2026-09-08T04:05:58.900Z,2026-09-08T04:05:58.909Z,1,C,9.554,200,11.151,E1,
224,2026-09-08T04:05:58.950Z,2026-09-08T04:05:58.963Z,1,B,12.601,200,11.201,E1,
225,2026-09-08T04:05:59.000Z,2026-09-08T04:05:59.011Z,1,C,11.286,200,11.251,E1,
226,2026-09-08T04:05:59.049Z,2026-09-08T04:05:59.064Z,1,C,14.773,200,11.300,E1,
227,2026-09-08T04:05:59.100Z,2026-09-08T04:05:59.112Z,1,B,12.243,200,11.351,E1,
228,2026-09-08T04:05:59.150Z,2026-09-08T04:05:59.162Z,1,C,11.711,200,11.401,E1,
229,2026-09-08T04:05:59.199Z,2026-09-08T04:05:59.211Z,1,C,12.223,200,11.450,E1,
230,2026-09-08T04:05:59.250Z,2026-09-08T04:05:59.266Z,1,A,16.348,200,11.501,E1,
231,2026-09-08T04:05:59.300Z,2026-09-08T04:05:59.322Z,1,B,21.896,200,11.551,E1,
232,2026-09-08T04:05:59.349Z,2026-09-08T04:05:59.358Z,1,B,8.602,200,11.600,E1,
233,2026-09-08T04:05:59.400Z,2026-09-08T04:05:59.406Z,1,A,5.890,200,11.651,E1,
234,2026-09-08T04:05:59.449Z,2026-09-08T04:05:59.458Z,1,A,8.763,200,11.700,E1,
235,2026-09-08T04:05:59.500Z,2026-09-08T04:05:59.516Z,1,A,16.924,200,11.751,E1,
236,2026-09-08T04:05:59.550Z,2026-09-08T04:05:59.556Z,1,B,6.571,200,11.801,E1,
237,2026-09-08T04:05:59.600Z,2026-09-08T04:05:59.609Z,1,B,9.544,200,11.851,E1,
238,2026-09-08T04:05:59.650Z,2026-09-08T04:05:59.665Z,1,C,15.041,200,11.901,E1,
239,2026-09-08T04:05:59.700Z,2026-09-08T04:05:59.705Z,1,A,5.242,200,11.951,E1,
240,2026-09-08T04:05:59.749Z,2026-09-08T04:05:59.756Z,1,A,6.437,200,12.000,E1,
241,2026-09-08T04:05:59.799Z,2026-09-08T04:05:59.817Z,1,A,17.581,200,12.050,E1,
242,2026-09-08T04:05:59.850Z,2026-09-08T04:05:59.858Z,1,B,8.169,200,12.101,E1,
243,2026-09-08T04:05:59.899Z,2026-09-08T04:05:59.906Z,1,B,6.495,200,12.151,E1,
244,2026-09-08T04:05:59.949Z,2026-09-08T04:05:59.961Z,1,A,11.467,200,12.200,E1,
245,2026-09-08T04:06:00.000Z,2026-09-08T04:06:00.013Z,1,B,13.243,200,12.251,E1,
246,2026-09-08T04:06:00.050Z,2026-09-08T04:06:00.062Z,1,B,12.301,200,12.301,E1,
247,2026-09-08T04:06:00.099Z,2026-09-08T04:06:00.119Z,1,A,20.327,200,12.350,E1,
248,2026-09-08T04:06:00.150Z,2026-09-08T04:06:00.158Z,1,C,8.502,200,12.401,E1,
249,2026-09-08T04:06:00.200Z,2026-09-08T04:06:00.206Z,1,C,6.003,200,12.451,E1,
250,2026-09-08T04:06:00.249Z,2026-09-08T04:06:00.260Z,1,A,10.289,200,12.500,E1,
251,2026-09-08T04:06:00.300Z,2026-09-08T04:06:00.320Z,1,C,19.936,200,12.551,E1,
